1st -->,A,B,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A," ",Ba (Babar),Dan (DanDan) / da,head (Ned),fan (Codi) / fa,Gad (Elmaleh) / ga,hat / ha,Mia,Jeanne / ja,Kah,Lark (Larkin) / la,马,Na (Selina),oat,pa (Papa) / pa,quartz,rat,Sainz / sa,tan (young Michael Jackson) / ta,瓜,van / va,Wa (Wabbit),za (pizza)
B,ab (abacus)," ",dab (Usain),eb (eyeball),Fab (Bartez),Gob (Goblin - Kim Shin),Hob (Hobbit),lib (book shelves),Jumb (Jumbo) / jab,keb (kebab),lob (lobster),mab (marble),Nab (Nabilla),Ob (Obi-Wan),peab (peanut butter),cube,Reb (F1 Red Bull),Seb,tab (taboulet),Scrub (Killa) / sub,vob (volleyball),web (spider-man),zeb (zebra)
D,Ad (Aladdin),bed," ",Ed (Sheeran),flood,God (or Jesus),hood (Robin),ID (passport),Jed (Jedi),kid (karate),lead (Napoléon),med (medicine),nerd / need,Aude,pod (sleeping),quid (quiddich),red,Sad (Sadida),Toad,mud,Vad (Dark Vador),weed,Zedd
E,ale,Beach / be,death (Grip Reaper) / de," ",feu,gel,hell (Satan),ice,Jean / je,key,Le (Leclerc),meat (dead bird) / me,net / ne,œuf,pen / pe,quench (extinguisher) / que,rev (révolver) / re,sel / se,thé / te,blue,veste / ve,Wen (Wendy),zen (buddhist meditation)
F,Af (African - Black Panther),beef (steak),Duff (Hilary),elf," ",gaffe (Lagaffe),Huff (Hufflepuff),if (Hi-Fi speakers),Jeff,kiff,leaf,muff (muffin),knife,Croft (lara) / off,puff,quiff (comb),Raf,Smurf / safe,Toph (Avatar),truffe,vif (d'or),wife,Zeph (Zephyr in knight)
G,Aang (Avatar),bag (trash),dog,egg (golden),fige (Piper)," ",Hugh (Jackman) / hug,Yog (Yoggy),Jag (Jaguar),king (crown),Leg (lego),mag,nug (nuggets),ogre (Shrek / log,pog (children game),quag (Quag Vampires Magic card),rug (flying carpet),Seg (Segway),桐,mug,Veg (Vegas casino chips),wig,中
H,ash,bûche (de Noël),douche,Eche,Flash,glyphe / gâche," ",inch (ruler) / ich,Josh,Khan,leech / lâche,mâche,niche,moche (Quasimodo) / osh,phone,quiche,riche (or),Schu (Schumacher),Thor,ruche,vache,whale / what,Zhao (captain)
I,Räi (Räikkönen),bee,di (dino),Ein (Einstein),Fi (Fiat),Gin (Ginny),Hi," ",Jim (carrey),kite,Li,mirror,Nice (palmier) / ni,oy (oysters),pie,quill (Harry Potter),Ri (Ricciardo),seal,tir,Louis (XIV),Vi (Vina),Wii,Zim (Oui-Oui)
J,Aj,badge / baj,dij (moutarde de Dijon),ej (ejection seat),Fudge (Cornelius) / fej,gauge,hedge (bushes) / hej,midge (giant)," ",Kedge (Lila) / kej,loj (Logitech wheel),Mahj (Mahjong) / maj,ninj (Ninja) / nij,Moj (Mojo drink) / oj,Page (Elliot),squeedge (squeedgee) / qij,Raj,sledge / sage,Tej (Teju),Burj (Khalifa) / buj,vej (veggies),wedge (cheese) / wej,zej (jizz)
K,arc (Oliver - Arrow) / ak,book,deck,Ec (Ecaflip),fork / fok,Greek (statue) / geek,hike (Etienne),ink,Jake," ",lake,Mick (Mickey),Nick,oak,Peak (building),quack (duck),rock,skull,truck / take,uke (ukulele),Vik (Viking),wreck / weak,zouk (dancers)
L,Al (Alexis),blood / bol,doll (scary),El (Elsa - Frozen),fly,Gilles,hole (black hole),île,Jules (Caesar),Kyle," ",Mal (Maleficent),Nil,old / ol,pole (tyre),quail,roule (train) / rôle,slay,troll (Harry Potter) / tool,bulle,Vol (Voldemort),Will (Williams),Zul (Azul)
M,arm / am,boom,dame (Poppins),em (emerald),flamme (Olympique),gomme,Ham (Hamilton),im (image),jam,Kim,lamp (Aladdin)," ",nem,Om (Vimon),Pam,cam (camera),rhum,Sam,Tom,ULM,vroom (Koenigsegg) / vim,worm / whim,zoom (binoculars)
N,Anne,Ben,dune (sable),En (Eniripsa),fun (kids),gnome (garden) / gun,hon (Honey),in (inert - body),June,Ken,Lune (croissant),Moon (floating)," ",on (onion),Pan (Pandawa),queen,rain (raining cloud) / rune,snow,Tron,Unn,vin,win (floating window),Zinn
O,草（草莓）,Bo,Do (Trump),feoff,pho,Go,Ho (Santa),Iop,Joe (Biden),ko (koala),Loh,mom / mo,Noel / no," ",poop / po,quote (dinner quote) / quo,Ron / ro,soy (sauce) / so,to (tonneau),Rouault / 错,veau,Wolff (Toto) / wo,zo (zombie)
P,Alp (Alpine) / app,blop (Dofus),Dop (Dopeul),ep (épée),flip (Octane) / fap,gap (hole),harp / hip,imp (Game of Thrones),Jeep,kelp / keep,lep (lépreux),map (Game of Thrones),nap,cop / op," ",cape,rap (Eminem),soap / spa,trap / tap,Up (balloons),vamp (vampire),warp (time-space) / weep,Zip (bag with zipper)
Q,aq (aquarium) / aq,banque (lingot d'or),duck (rubber),cheek (Katara),Fec (Feca),glock,Hulk / hook,sick (green),Jack (Nightmare before Christmas),click  (box with lock),liq (liquor),Mac,knock (Sheldon),Orc (Lord of the Ring) / oq,Pâques," ",rook (chess),squash,tac (alarm clock),Chuck / euq,vrac (livres en vrac) vaq,wok (ewok),Zack (Final Fantasy)
R,art (Mona Lisa),Brew (Brewer) / bar,deer (Bambi),Mer (F1 Mercedes),Ferr (Ferrari),Grace / gare,Her (Hermione),Sir (knight),jar (glass),Krist / kri,Lar (McLaren),mur,Nor (Norris),or (sac d'or),Per (Perez),queer (rainbow flag)," ",Sram / sur,Tour (Eiffel),urne (crémation),Ver (Verstappen),war (Star Wars ship),Zerg / zur
S,As (Aston Martin),boss (Time Crisis),dress / des,Es (Ocon),fish,Gus (Cinderella),Haas,IS,Jess,kiss,les (girls kissing),Muse (album) / miss,noose,os,Pas (Pascal) / psi,quest (map) / ques,Ross," ",toss,Russ (Russel) / us,vase,wash (dishes),Zest (lemon) / zes
T,ant / at,Bot (Bottas),dirt / dot,Fett (Boba) / et,foot,Gates / gut,heart / hit,eat,jet,Kate,Lat (Latifi),mat (mattress),Nat,hot,Pot (Potter),quilt / quit,rust (anchor) / route,Stroll / sit," ",ute (pickup truck),Vet (Vettel),Wat (Angkor),zit (magic exit door)
U,Yau (Toby) / au,bus / bu,Dum (Dumbledore) / du,Eur (pièce) / eu,fugue (organ) / fu,谷 (谷歌),hut,IU,Ju (Julia),cup,Lu (biscuit),mue (de serpent),nuke / nu,Oug (Ouginak) / ou,puke / pu,quad,ru (ruby),sun / su,tunes (billets) / tu," ",vue (twin towers),Wu (Oliver),zut (tasse renversée)
V,Av (Avril),bave,Dove (shampoo),Eve (Wall-E),fauve (tigre),Giov (Giovinazzi) / gov,hov (hoverboard),Yves (perfume),jav,Kev,lave,morve / mauve,nerve (piano) / nev,Love (Sarang),poivre / pov,quiv,Rav,SUV (Telsa),Trav (Travolta),move," ",wave,Xev / zev
W,Hawk (Tony) / aw,bow,Dwayne (Johnson),meow (Nala),flow (flower) / few,glow (Harry Potter wand),Howl (moving castle) / how,yew (Japanese),Jaws (shark),Klaw,lawn (mower) / low,maw (purple jaws),news (newspaper) / now,owl / ow,pawn,Crow / qow,row (boat),Saw (horror),twins (Olsen) / tow,jew (jewels - diamond),vow (wedding)," ",Zoe
