,,,,,,,,,,,,,,,,,,,,,,
"[R' D R U2: [R' D' R, U']]",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"[R' D R U2: [R' D' R, U]]","[R' D R U: [R' D' R, U2]]",,,,,,,,,,,,,,,,,,,,,
twist,"[R: [U, R D R']]",,"[U' R: [R D R', U2]]",,,,,,,,,,,,,,,,,,,
"[x' D: [F2, D' R D R']]","[R': [R' D' R, U']]",,twist,"[U' R' F: [D, R U R']]",,,,,,,,,,,,,,,,,,
"[R' D R, U2]","[R' D R, U]",,"[R' D R, U']","[U R': [U', R' D R]]","[R' U': [D, R U R']]",,,,,,,,,,,,,,,,,
"[U': [R D' R', U2]]","[U', R D' R']",,"[U': [R D' R', U']]","[R D': [R D R', U]]","[U' R U': [D', R' U R]]","[D R': [F', R D' R' D]]",,,,,,,,,,,,,,,,
"[l' D' U: [R D R', U2]]","[R2' U': [D', R U R']]",,twist,"[l' U: [R D' R', U2]]",twist,"[D R': [F2, R D' R' D]]","[R D U': [R' D R, U2]]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"[D U': [R D R', U2]]","[D': [R' D R, U]]",,"[D': [R' D R, U']]","[U D' R': [U', R' D R]]","[R: [F, R' U R U']]","[U: [D, R U' R']]","[l' U: [D, R U' R']]","[R': [R D' R' D, F2]]",,,,,,,,,,,,,,
"[D: [R' D' R, U2]]","[D: [R' D' R, U]] ",,"[D: [R' D' R, U']]","[R U: [R' D R, U]]","[D R' U': [D', R U R']]",twist,"[D, L' U L]","[R U: [R' D R, U2]]",,"[R': [F', R D' R' D]]",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"[R' U D R: [R U' R', D']]",twist,,"[U' R': [U2, R' D' R]]","[R: [R2' D R2 D' R2', U]]","[R U' D' R': [D, R' U R]]","[U R U: [R' D R, U2]]","[U R: [R D' R', U2]]","[R' F' R D U: [U2, R' D' R]",,"[U' R' U: [R D R', U2]]","[U R U D: [R' D' R, U2]]",,,,,,,,,,,
"[U': [R D R', U2]]","[U', R D R']",,"[U': [R D R', U']]","[U' R: [R U' R', D']]","[D' R: [F, R' U R U']]","[U D: [R U' R', D2']]","[R D': [R' U' R, D2]]","[R D' U: [R' D R, U2]]",,"[U: [R U' R', D']]","[R D: [D, R' U' R]]",,"[U R U': [R' D' R, U2]]",,,,,,,,,
"[R' D' R, U2]","[R' D' R, U]",,"[R' D' R, U']","[U R' U': [U', R D R']]","[R' U': [D', R U R']]","[U R' D: [R U' R', D2]]","[D2, R U R']","[D R U: [R' D' R, U2]]",,twist,"[D, R U R']",,"[F', R U R2 U' R']","[R D': [R' D R, U]]",,,,,,,,
"[R' U D: [R D R', U2]]",twist,,"[R' D': [U', R' D R]]","[U R': [U', R' D' R]]","[R' F: [R U R', D]]"," [R' U: [R U' R', D]]","[U' L U, R]","[R U D': [R' D' R, U2]]",,"[D' R' U: [R U' R', D]]","[R' F: [R U' R', D]]",,twist,"[U' R U: [R' U' R, D]]","[R' U: [R U' R', D']]",,,,,,,
twist,"[R': [R' D' R, U2]]",,"[U' R': [U', R' D' R]]",twist,"[R B' R', F]","[R B' R': [R' D R, U]]","[U D R' F': [D, R U' R']]","[R U R' U D: [R D R', U2]]",,"[l D': [U', R' D R]]","[D R': [D, R' U R]]",,"[U R: [U2, R D R']]","[R B': [R' U' R, D]]","[R': [D, R' U R]]","[R, U' L' U]",,,,,,
"[D' U': [R D R', U2]]","[D: [R' D R, U]]",,"[D: [R' D R, U']]","[U D R': [U', R' D R]]","[D L': [F', L U' L' U]]","[U: [L' U' L, D]]",twist,"[D R' D: [F2, D' R D R']]",,"[U' D: [R' U' R, D2]]","[D' R D': [R' U' R, D2]]",,"[U' R' U': [R D' R', U2]]","[U': [R' U' R, D']]","[U R' D': [R U' R', D']]","[D R' U: [D, R U' R']]","[U' R' U': [R D' R', U']]",,,,,
"[U' D: [R D' R', U2]]","[D: [U', R D' R']]",,"[D': [R' D' R, U']]","[R U: [R' D' R, U]]","[D' R' U': [D', R U R']]","[R' D R: [D', R U R']]","[D2: [R U R', D]]","[R U: [R' D' R, U2]]",,"[R U R' U': [D', R U R']]","[D: [R U R', D2]]",,"[R' F' R D' U: [R' D' R, U2]]",twist,"[R U R', D']","[R' D': [R' D R, U]]","[D' R': [R' U R, D]]","[D2' R': [F', R D' R' D]]",,,,
"[R F' R' U': [R D R', U2]]","[R F': [R' U' R, D]]",,"[U': [U R' U' R, F2']]","[D' R: [R D' R', U]]","[U' R' U: [R U' R', D]] ",twist,"[D R U' R': [R' D R, U2]]","[D' R: [R D' R', U2]]",,"[R: [R' U R U', F2]]",twist,,"[U' R': [R' D R, U2]]","[U' R': [R' D R, U]]","[R D: [U, R' D' R]]","[D' R U': [R' U R, D']]","[U' R': [R' D R, U']]","[l U' D': [R D R', U2]]","[R U: [R U R', D]]",,,
"[R' D R U' R D' R', U2]","[R' D R U' R D' R', U]",,"[R' D R U' R D' R', U']","[U R' D': [U', R' D' R]]","[R' F2: [R U' R', D']]","[U D R D': [U' ,R' D R]]","[R U' D R': [R' D R, U2]]","[R U' R' D': [R' D R, U2]]|[R U' R' U D: [R D R', U2]]",,twist,"[R U' R': [R' D R, U2]]",,"[U R': [F2, R D' R' D]]","[D' R: [R' U R U', F2]]",twist,"[U R' U': [R U R', D']]","[U' D' R': [R' D R, U']]","[U' D' R': [R' D R, U]]","[D' R D: [U, R' D' R]]","[U' R' F': [R U' R', D']]",,
"[R D' R': [R' D R, U2]]","[U', R D' R' U R' D R]",,"[R D' R': [R' D R, U']]","[D R: [R D' R', U]]","[R U' R': [D, R' U R]]","[F': [R U' R', D']]","[R D' R': [R' D R, U]]","[D R: [R D' R', U2]]",,"[U R D': [U', R' D R]] ","[D R: [R D' R', U']]",,"[U R U' D': [R' D R ,U2]]",twist,"[D' R U' R': [R' D R ,U2]]","[D R U': [R' U R ,D']]","[U R: [D', R U' R']]","[U R: [D2, R U' R']]",twist,"[R U' R': [D2, R' U R]]","[D R U' R': [R' U R ,D']]",
"[R' U' D' R: [R U' R', D]]","[R' B: [D', R U R']]",,"[R' D' R: [R U' R', D]]","[R: [R D' R', U]]","[U' D R' U: [R U' R', D]]","[D R: [R' U R U', F2]]",twist,"[R: [R D' R', U2]]",,"[R' D' R: [R U R', D]]","[D R D: [U, R' D' R]]",,"[D U' R': [R' D R, U2]]","[U D' R D': [U', R' D R]]","[R: [R D' R', U']]","[R U': [R' U R, D']]","[R2 U: [D', R' U' R]]",twist,"[R U' D: [R' U R, D2]]","[F2, L B L']","[R U' R' U: [R D' R', U2]]","[R U' R': [R' U R ,D']]"
